,title,authors,average_rating,language_code
682,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,eng
683,John Adams,David McCullough,4.06,eng
684,The John Adams Reader: Eseential Writings on an American Composer,Thomas May/John   Adams,3.5,eng
685,The Letters of John and Abigail Adams,Abigail Adams/Frank Shuffelton,4.14,eng
686,Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,4.05,eng
687,The Portable John Adams,John  Adams/John Patrick Diggins,4.17,eng
688,Sex For Dummies,Ruth Westheimer,3.65,eng
689,Baby Signing For Dummies,Jennifer Watson,3.64,eng
690,The Feeling Good Handbook,David D. Burns,4.0,eng
691,On Death and Dying,Elisabeth Kübler-Ross,4.16,eng
692,Questions and Answers on Death and Dying: A Companion Volume to On Death and Dying,Elisabeth Kübler-Ross,4.07,eng
693,The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder/Albert Lee Strickland,3.77,eng
694,Mahatma Gandhi and His Myths: Civil Disobedience  Nonviolence  and Satyagraha in the Real World (Plus Why It's Gandhi  Not Ghandi),Mark Shepard,3.62,eng
695,The Seven Habits of Highly Effective People,Stephen R. Covey,4.1,eng
696,The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,4.24,eng
697,Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,3.9,eng
698,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.14,eng
699,Secret of the Peaceful Warrior,Dan Millman/Robert D. San Souci/T. Taylor Bruce,4.15,eng
700,It's Not about the Bike: My Journey Back to Life,Lance Armstrong/Sally Jenkins,3.72,eng
701,23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,3.67,eng
702,Truman,David McCullough,4.12,eng
703,The Complete Stories of Truman Capote,Truman Capote/Reynolds Price,4.2,eng
704,Breakfast at Tiffany's: A Short Novel and Three Stories,Truman Capote,3.89,eng
705,Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,3.58,eng
706,Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,3.74,eng
707,Other Voices  Other Rooms,Truman Capote,3.8,eng
708,In Cold Blood,Truman Capote/Scott Brick,4.07,eng
709,Emergence: The Connected Lives of Ants  Brains  Cities  and Software,Steven Johnson,3.96,eng
710,Emergence: Labeled Autistic,Temple Grandin/Margaret M. Scariano,4.07,eng
711,The Emergence of Life on Earth: A Historical and Scientific Overview,Iris Fry,4.02,eng
712,The Ghost Stories of Edith Wharton,Edith Wharton/Laszlo Kubinyi,3.89,eng
713,The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,Edith Wharton/R.W.B. Lewis,4.3,eng
714,Collected Stories  1911-1937,Edith Wharton/Maureen Howard,4.25,eng
715,Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton/Cynthia Griffin Wolff,4.22,eng
716,The House of Mirth,Edith Wharton,3.95,eng
717,Below the Root,Zilpha Keatley Snyder/Alton Raible,4.08,eng
718,The Witches of Worm,Zilpha Keatley Snyder,3.69,eng
719,The Deeper Meaning of Liff,Douglas Adams/John Lloyd,3.93,eng
720,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,eng
721,The Letters of J.R.R. Tolkien,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien,4.15,eng
722,The History of the Lord of the Rings (The History of Middle-earth #6-9),J.R.R. Tolkien/Christopher Tolkien,4.38,eng
723,The Languages of Tolkien's Middle-Earth,Ruth S. Noel/J.R.R. Tolkien,3.98,eng
724,The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng
725,Farmer Giles of Ham,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,3.85,eng
726,Tandia,Bryce Courtenay,4.05,eng
727,Matthew Flinders' Cat,Bryce Courtenay,3.8,eng
728,Solomon's Song (The Potato Factory  #3),Bryce Courtenay,4.01,eng
729,An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,4.1,eng
730,Cold Counsel: Women in Old Norse Literature and Myth,Sarah M.  Anderson/Karen Swenson,3.68,eng
731,Brave Companions: Portraits in History,David McCullough,3.98,eng
732,Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,4.12,eng
733,John Adams,David McCullough,4.06,eng
734,The Johnstown Flood,David McCullough,4.11,eng
735,The Path Between the Seas: The Creation of the Panama Canal  1870-1914,David McCullough,4.2,eng
736,The Bone Collector (Lincoln Rhyme  #1),Jeffery Deaver,4.19,eng
737,The Bone Collector's Son,Paul Yee,3.27,eng
738,El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,4.19,spa
739,Moby Dick,Herman Melville/William Hootkins,3.5,eng
740,Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,3.71,eng
741,Moby Dick,Herman Melville/William Hootkins,3.5,eng
742,Moby-Dick,Herman Melville/Carl F. Hovde,3.5,eng
743,Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,Michael J. Davey/Duncan Wu,3.61,eng
744,Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,3.82,eng
745,Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,3.93,eng
746,Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,3.82,eng
747,Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,eng
748,"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",Elizabeth A. Schultz,4.28,eng
749,Double Tap (Paul Madriani  #8),Steve Martini,3.92,eng
750,The List,Steve Martini,3.96,eng
751,Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,4.22,eng
752,The Innocents Abroad,Mark Twain/Grover Gardner,3.86,eng
753,Teaching English Abroad,Susan  Griffith,3.57,eng
754,Theocritus: Select Poems: Select Poems,Theocritus/Kenneth James Dover,3.0,grc
755,The Shield. Catalogue of Women. Other Fragments. (Hesiod II),Hesiod/Glenn W. Most,4.03,eng
756,Death and the King's Horseman,Wole Soyinka/Simon Gikandi,3.76,eng
757,The Time Machine,H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner,3.89,eng
758,The Time Machine,H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard,3.89,eng
759,The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,3.59,eng
760,The Time Machine,H.G. Wells/Melvin Burgess,3.89,eng
761,The Complete Short Stories,H.G. Wells/John R. Hammond,4.14,eng
762,Selected Stories,H.G. Wells/Ursula K. Le Guin,3.93,eng
763,Tono-Bungay,H.G. Wells/Edward Mendelson/Patrick Parrinder,3.42,eng
764,The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,eng
765,In the Name of Jesus: Reflections on Christian Leadership,Henri J.M. Nouwen,4.34,eng
766,Blood Done Sign My Name: A True Story,Timothy B. Tyson,4.15,eng
767,Blindness,José Saramago/Giovanni Pontiero,4.11,eng
768,The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,4.29,eng
769,All the Names,José Saramago/Margaret Jull Costa,3.89,eng
770,The Tale of the Unknown Island,José Saramago/Peter Sís/Margaret Jull Costa,3.89,eng
771,Baltasar and Blimunda,José Saramago/Giovanni Pontiero,3.92,eng
772,The Cave,José Saramago/Margaret Jull Costa,3.84,eng
773,The Stone Raft,José Saramago/Giovanni Pontiero,3.8,eng
774,The Year of the Death of Ricardo Reis,José Saramago/Giovanni Pontiero,4.02,eng
775,El hombre duplicado,José Saramago/Pilar del Río,3.89,spa
776,Ensayo sobre la lucidez,José Saramago/Pilar del Río,3.8,spa
777,La caverna,José Saramago/Pilar del Río,3.84,spa
778,The History of the Siege of Lisbon,José Saramago/Giovanni Pontiero,3.81,eng
779,Las intermitencias de la muerte,José Saramago/Pilar del Río,4.0,spa
780,The Treasured Writings of Kahlil Gibran,Kahlil Gibran,4.42,eng
781,The Prophet,Kahlil Gibran/جبران خليل جبران/Jihad El,4.23,eng
782,A Tear and a Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,4.03,eng
783,On the Road,Jack Kerouac,3.63,eng
784,On the Road,Jack Kerouac/Ann Charters,3.63,eng
785,De Kooning: An American Master,Mark Stevens/Annalyn Swan,4.11,eng
786,Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5.0,eng
787,Aké: The Years of Childhood,Wole Soyinka,3.93,eng
788,Ready for Anything: 52 Productivity Principles for Getting Things Done,David    Allen,3.85,eng
789,The Facilitator's Book of Questions: Tools for Looking Together at Student and Teacher Work,David  Allen/Tina Blythe/Gene Thompson-Grove,4.0,eng
790,Sun Tzu and the Art of Business: Six Strategic Principles for Managers,Sun Tzu/Mark McNeilly,3.89,eng
791,Marketing Warfare,Al Ries/Jack Trout,4.11,eng
792,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.97,eng
793,Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,3.98,eng
794,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen/L.J. Ganser,3.99,eng
795,Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,3.77,eng
796,Great Expectations: Authoritative Text  Backgrounds  Contexts  Criticism,Charles Dickens/Edgar Rosenberg,3.77,eng
797,Luther and Erasmus: Free Will and Salvation (Library of Christian Classics),Erasmus/Martin Luther/Philip S. Watson/E. Gordon Rupp,3.8,eng
798,To Kill a Mockingbird,Harper Lee,4.27,eng
799,To Kill a Mockingbird,Harper Lee/Sissy Spacek,4.27,eng
800,To Kill a Mockingbird,Harper Lee,4.27,eng
801,The Wealthy Barber: Everyone's Common-Sense Guide to Becoming Financially Independent,David H. Chilton,4.02,eng
802,A Modest Proposal and Other Satirical Works,Jonathan Swift,4.05,eng
803,Gulliver's Travels / A Modest Proposal,Jonathan Swift/Jesse Gale,3.79,eng
804,Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,4.67,eng
805,The Bostonians,Henry James/R.D. Gooder,3.59,eng
806,Novels 1896–1899: The Other House / The Spoils of Poynton / What Maisie Knew / The Awkward Age,Henry James/Myra Jehlen,4.28,eng
807,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,4.63,eng
808,Complete Stories 1892–1898,Henry James/John Hollander/David Bromwich,4.22,eng
809,The Canterbury Tales,Geoffrey Chaucer/Nevill Coghill,3.49,eng
810,The Canterbury Tales,Geoffrey Chaucer/David  Wright,3.49,eng
811,The Canterbury Tales (original-spelling edition),Geoffrey Chaucer/Jill Mann,3.49,enm
812,Chaucer's Canterbury Tales (Selected): An Interlinear Translation,Geoffrey Chaucer/Vincent Foster Hopper,3.8,eng
813,Oxford Guides to Chaucer: The Canterbury Tales,Helen  Cooper,4.02,eng
814,Love Visions,Geoffrey Chaucer/Brian Stone,3.61,eng
815,Chaucer's Canterbury Tales,Geoffrey Chaucer,3.49,eng
816,The Riverside Chaucer,Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson,4.18,enm
817,The Portable Chaucer,Geoffrey Chaucer/Theodore Morrison,3.86,eng
818,Salt: A World History,Mark Kurlansky,3.74,eng
819,Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,4.2,eng
820,The Book of Salt,Monique Truong,3.52,eng
821,Cities of Salt (مدن الملح #1),Abdul Rahman Munif/Peter Theroux,4.13,eng
822,The Years of Rice and Salt,Kim Stanley Robinson,3.73,eng
823,Illuminations: Essays and Reflections,Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier,4.29,eng
824,Saul Steinberg: Illuminations,Saul Steinberg/Joel Smith/Charles Simic,4.51,eng
825,Advanced Global Illumination,Philip Dutre,4.5,eng
826,Snow Falling On Cedars,David Guterson,3.83,eng
827,The Lost Boy (Dave Pelzer #2),Dave Pelzer,4.1,eng
828,Real Boys: Rescuing Our Sons from the Myths of Boyhood,William S. Pollack/Mary Pipher,3.83,eng
829,Microserfs,Douglas Coupland,3.88,eng
830,New Media Language,Jean Aitchison/Diana M. Lewis,3.0,eng
831,The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,4.16,eng
832,A People's History of the United States,Howard Zinn,4.08,eng
833,A People's History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,4.08,eng
834,A People's History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,4.0,eng
835,Graphic Design: A Concise History (World of Art),Richard Hollis,4.0,eng
836,Immigrant Acts: On Asian American Cultural Politics,Lisa Lowe,4.0,eng
837,The Old Way of Seeing: How Architecture Lost Its Magic - And How to Get It Back,Jonathan Hale,3.92,eng
838,The Crying of Lot 49,Thomas Pynchon,3.69,eng
839,E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,eng
840,Passionate Minds,David Bodanis,4.1,eng
841,Christian Mythmakers: C.S. Lewis  Madeleine L'Engle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,Rolland Hein/Clyde S. Kilby,3.93,eng
842,A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle,3.76,eng
843,The Rock That Is Higher: Story as Truth,Madeleine L'Engle,4.12,eng
844,The Glorious Impossible,Madeleine L'Engle/Giotto di Bondone,4.25,eng
845,A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine L'Engle/Mary Chambers,3.98,eng
846,A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,4.21,eng
847,The Birth of Tragedy and Other Writings,Friedrich Nietzsche/Raymond Geuss/Ronald Speirs,4.04,eng
848,The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche/Francis Golffing,4.01,eng
849,The Birth of Tragedy,Friedrich Nietzsche,3.98,eng
850,The Birth of Tragedy,Friedrich Nietzsche/Michael Tanner/Shaun Whiteside,3.98,eng
851,Birth Of A Tragedy: Kashmir 1947,Alastair Lamb,4.0,eng
852,The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins,Mark Twain/David Lionel Smith/Sherley Anne Williams,3.79,eng
853,The Tragedy of Pudd'nhead Wilson,Mark Twain/Michael Prichard,3.79,eng
854,Bridge to Terabithia,Katherine Paterson/Donna Diamond,4.0,eng
855,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5.0,eng
856,Bread and Roses  Too,Katherine Paterson,3.76,eng
857,The Invisible Child,Katherine Paterson,4.27,eng
858,A Short History of Decay,Emil M. Cioran/Richard Howard,4.25,eng
859,Scholar of Decay (Ravenloft  #14),Tanya Huff,3.46,eng
860,Girl with a Pearl Earring,Tracy Chevalier,3.88,eng
861,The Golden Tulip,Rosalind Laker,3.94,eng
862,Burning Bright,Tracy Chevalier,3.36,eng
863,Falling Angels,Tracy Chevalier,3.58,eng
864,The Virgin Blue,Tracy Chevalier,3.66,eng
865,Wenn Engel fallen,Tracy Chevalier,3.58,ger
866,Tom Hunter: Living in Hell and Other Stories,Tom Hunter/Tracy Chevalier/Colin Wiggins,3.64,eng
867,Bleach  Volume 15,Tite Kubo,4.42,eng
868,Bleach  Volume 01,Tite Kubo,4.22,eng
869,Bleach  Volume 14,Tite Kubo,4.38,eng
870,Bleach  Volume 11,Tite Kubo,4.36,eng
871,Bleach  Volume 12,Tite Kubo,4.36,eng
872,DEATH NOTE デスノート 1,Tsugumi Ohba/Takeshi Obata/大場 つぐみ/小畑 健,4.43,jpn
873,Death Note  Vol. 4: 恋心 (Death Note  #4),Tsugumi Ohba/Takeshi Obata,4.39,jpn
874,Death Note  Vol. 3: 激走 (Death Note  #3),Tsugumi Ohba/Takeshi Obata,4.43,jpn
875,Love Artist (Harlequin Romance #2860),Valerie Parv,3.25,eng
876,Perfume: The Story of a Murderer,Patrick Süskind/John E. Woods,4.02,eng
877,Das Parfum. Die Geschichte eines Mörders,Patrick Süskind,4.02,ger
878,Three Stories and a Reflection,Patrick Süskind,3.57,eng
879,The Pigeon,Patrick Süskind,3.68,eng
880,The Story of Mr Sommer,Patrick Süskind/Jean-Jacques Sempé,3.84,eng
881,Bleach―ブリーチ― 1 [Burīchi 1] (Bleach  #1),Tite Kubo,4.22,jpn
882,Bleach  Tome 1: The Death and the Strawberry,Tite Kubo,4.22,fre
883,Escape from Fire Mountain (World of Adventure  #3),Gary Paulsen/Steve Chorney,3.67,eng
884,How Angel Peterson Got His Name,Gary Paulsen,3.93,eng
885,Tucket's Travels: Francis Tucket's Adventures In The West  1847-1849 (The Tucket Adventures  #1-5),Gary Paulsen,4.44,eng
886,Chicago Blues: The City and the Music,Mike  Rowe/Ronald Radano,3.92,eng
887,Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,4.26,eng
888,Brian's Winter,Gary Paulsen,4.01,eng
889,Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe/Virginia Woolf,3.67,eng
890,Robinson Crusoe,Daniel Defoe/John J. Richetti,3.67,eng
891,Robinson Crusoe,Daniel Defoe/Michael Shinagel,3.67,eng
892,Robinson Crusoe,Daniel Defoe/Avi,3.67,eng
893,Robinson Crusoe,Daniel Defoe,3.67,eng
894,A General History of the Pyrates,Daniel Defoe/Manuel Schonhorn/Charles   Johnson,3.72,eng
895,Huck Finn & Tom Sawyer among the Indians & Other Unfinished Stories (Mark Twain Library),Mark Twain/Paul Baender/Dahlia Armon/Walter Blair,3.85,eng
896,Huck Finn and Tom Sawyer Among the Indians,Mark Twain/Lee Nelson,3.57,eng
897,Huck Finn/Pudd'nhead Wilson/No 44 Mysterious Stranger other Writings,Mark Twain/Guy Cardwell/Louis J. Budd,4.06,eng
898,The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),Mark Twain/Guy Cardwell/John Seelye/Walter Trier,3.82,eng
899,Adventures of Huckleberry Finn,Mark Twain/E.W. Kemble,3.82,eng
900,Adventures of Huckleberry Finn,Mark Twain/George Saunders,3.82,eng
901,The Annotated Huckleberry Finn,Mark Twain/Michael Patrick Hearn/E.W. Kemble,3.82,eng
902,The Wit and Wisdom of Mark Twain,Mark Twain,4.2,eng
903,Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,Mark Twain/Lin Salamo/Victor Fischer/Michael B. Frank,3.86,eng
904,The Complete Short Stories of Mark Twain,Mark Twain/Charles Neider,4.28,eng
905,The Autobiography of Mark Twain,Mark Twain/Charles Neider,4.05,eng
906,Collected Tales  Sketches  Speeches  & Essays 1891–1910,Mark Twain/Louis J. Budd,4.39,eng
907,Lost Horizon,James Hilton,3.92,eng
908,Louisa May Alcott's Christmas Treasury,Louisa May Alcott/C. Michael Dudash/Stephen W. Hines,3.96,eng
909,My Secret Garden: Women's Sexual Fantasies,Nancy Friday,3.68,eng
910,The Secret Garden,Frances Hodgson Burnett,4.13,eng
911,The Secret Garden,Frances Hodgson Burnett/Sandra M. Gilbert,4.13,eng
912,The Secret Garden,Martha Hailey DuBose/Frances Hodgson Burnett/Lucy Corvino/Arthur Pober,4.33,eng
913,The Secret Garden,Frances Hodgson Burnett/Alison Lurie,4.13,eng
914,A Little Princess,Frances Hodgson Burnett/Nancy Bond,4.2,eng
915,Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,Ann Thwaite,3.8,eng
916,The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden,Amy Cotler/Frances Hodgson Burnett/Prudence See,4.3,eng
917,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,4.32,eng
918,Basic Economics: A Common Sense Guide to the Economy,Thomas Sowell,4.32,eng
919,Black Rednecks and White Liberals,Thomas Sowell,4.38,eng
920,Applied Economics: Thinking Beyond Stage One,Thomas Sowell,4.14,eng
921,Knowledge And Decisions,Thomas Sowell,4.39,eng
922,A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell,4.31,eng
923,Sir Gawain and the Green Knight,Selina Shirley Hastings/Juan Wijngaard,3.91,eng
924,Alcoholics Anonymous,Alcoholics Anonymous,4.45,eng
925,Alcoholics Anonymous,Alcoholics Anonymous,4.45,eng
926,The Twelve Steps & Twelve Traditions of Overeaters Anonymous,Overeaters Anonymous,4.36,eng
927,The Natural Way to Draw,Kimon Nicolaides/Mamie Harmon,3.9,eng
928,Natural Health  Natural Medicine,Andrew Weil,4.11,eng
929,The Fixer,Bernard Malamud/Jonathan Safran Foer,3.96,eng
930,The Complete Stories,Bernard Malamud/Robert Giroux,4.22,eng
931,The Assistant,Bernard Malamud/Jonathan Rosen,3.89,eng
932,Conversations with Bernard Malamud (Literary Conversations),Lawrence M. Lasher,4.0,eng
933,The Tenants,Bernard Malamud/Aleksandar Hemon,3.65,eng
934,Enchanted April: Acting Edition,Matthew Barber/Elizabeth von Arnim,3.61,eng
935,April  May und June,Elizabeth von Arnim,3.88,ger
936,A Room with a View,E.M. Forster,3.91,eng
937,A Room with a View / Howards End,E.M. Forster/Benjamin DeMott,4.1,eng
938,E.M. Forster: Critical Guidebook,Lionel Trilling/E.M. Forster,3.51,eng
939,The Longest Journey,E.M. Forster/Gilbert Adair/Elizabeth Heine,3.48,eng
940,Howards End,E.M. Forster,3.96,eng
941,Maurice,E.M. Forster,4.03,eng
942,E. M. Forster: A Life,P.N. Furbank,4.14,eng
943,Howards End,E.M. Forster,3.96,eng
944,The Sixteen Pleasures,Robert Hellenga,3.59,eng
945,Revolutionary Characters: What Made the Founders Different,Gordon S. Wood,3.97,eng
946,The Rescue (Kidnapped  #3),Gordon Korman,4.11,eng
947,Hunting the Hunter (On the Run  #6),Gordon Korman,4.21,eng
948,Public Enemies (On The Run  #5),Gordon Korman,4.19,eng
949,Runaway Bride,Deborah  Gordon,4.25,eng
950,The Bridge over the Drina,Ivo Andrić/William H. McNeill,4.33,eng
951,Drina Dances in Paris,Jean Estoril,4.16,eng
952,Drina Ballerina,Jean Estoril,4.16,eng
953,Le Pont sur la Drina,Ivo Andrić/Pascale Delpech,4.33,fre
954,Drina Dances in Italy,Jean Estoril,4.08,eng
955,Drina Goes on Tour,Jean Estoril/Mabel Esther Allan,4.26,eng
956,Drina Dances in Madeira,Jean Estoril/Mabel Esther Allan,4.09,eng
957,Phaedrus/Apology/Crito/Symposium,Plato/Benjamin Jowett,3.0,eng
958,The Dialogues of Plato  Volume 1: Euthyphro  Apology  Crito  Meno  Gorgias  Menexenus,Plato/Reginald E. Allen,4.17,eng
959,Gorgias/Timaeus,Plato/Benjamin Jowett,3.74,eng
960,Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Aristotle/W.S. Hett,4.57,grc
961,Aristophanes I: Clouds/Wasps/Birds,Aristophanes/Peter Meineck/Ian C. Storey,3.77,eng
962,The Trojan Women,Euripides/Gilbert Murray,3.89,eng
963,Greek Tragedies  Volume 2,David Grene/Richmond Lattimore/Aeschylus/Sophocles/Euripides,4.29,eng
964,Moloka'i (Moloka'i #1),Alan Brennert,4.17,eng
965,Teaching with the Brain in Mind,Eric Jensen,4.11,eng
966,Introducing Mind and Brain (Introducing...),Angus Gellatly/Oscar Zárate/Richard Appignanesi,3.54,eng
967,Eva Luna,Isabel Allende/Margaret Sayers Peden,3.97,eng
968,The Stories of Eva Luna,Isabel Allende,3.97,eng
969,Diez Cuentos de Eva Luna Con Guia de Comprension y Repaso de Gramatica,Isabel Allende/Richard D. Woods/Kenneth M. Taggart,3.97,eng
970,El bosque de los pigmeos,Isabel Allende,3.77,spa
971,Inés of My Soul,Isabel Allende/Margaret Sayers Peden,3.93,eng
972,La casa de los espíritus,Isabel Allende,4.23,spa
973,El plan infinito,Isabel Allende,3.72,spa
974,El reino del dragón de oro,Isabel Allende,3.84,spa
975,City of the Beasts (Eagle and Jaguar  #1),Isabel Allende/Margaret Sayers Peden,3.71,eng
976,Self,Yann Martel,3.43,eng
977,Die Brücke über die Drina,Ivo Andrić/Ernst E. Jonas,4.33,ger
978,Drina Dances in Switzerland,Jean Estoril/Jenny Sanders,4.02,eng
979,The Story of Salt,Mark Kurlansky/S.D. Schindler,4.08,eng
980,Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea,Mark Kurlansky/Dalai Lama XIV,4.0,eng
981,Boogaloo on 2nd Avenue,Mark Kurlansky,3.17,eng
982,Cod: A Biography of the Fish That Changed the World,Mark Kurlansky,3.91,eng
983,1968: The Year That Rocked the World,Mark Kurlansky,3.78,eng
984,A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky,3.87,eng
985,The Basque History of the World: The Story of a Nation,Mark Kurlansky,3.85,eng
986,The Cod's Tale,Mark Kurlansky/S.D. Schindler,3.91,eng
987,Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,0.0,eng
988,Harry Potter Y La Piedra Filosofal (Harry Potter  #1),J.K. Rowling,4.47,spa
989,Angle of Repose,Wallace Stegner/Jackson J. Benson,4.27,eng
990,Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,4.25,eng
991,Girlfriend in a Coma,Douglas Coupland,3.62,eng
992,Corelli's Mandolin,Louis de Bernières,3.98,eng
993,Kiffe Kiffe Tomorrow,Faïza Guène/Sarah    Adams,3.4,eng
994,Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham,3.72,eng
995,The Senator and the Socialite: The True Story of America's First Black Dynasty,Lawrence Otis Graham,3.95,eng
996,Temptations,Otis Williams/Patricia Romanowski,4.19,eng
997,The Thorn Birds,Colleen McCullough,4.23,eng
998,Caesar (Masters of Rome  #5),Colleen McCullough,4.37,eng
999,Caesar's Women (Masters of Rome  #4),Colleen McCullough,4.25,eng
1000,On  Off (Carmine Delmonico  #1),Colleen McCullough,3.52,eng
1001,Three Complete Novels: Tim/An Indecent Obsession/The Ladies of Missalonghi,Colleen McCullough,3.67,eng
1002,Morgan's Run,Colleen McCullough,3.95,eng
1003,The October Horse: A Novel of Caesar and Cleopatra (Masters of Rome  #6),Colleen McCullough,4.29,eng
1004,The First Man in Rome (Masters of Rome  #1),Colleen McCullough,4.11,eng
1005,The Grass Crown (Masters of Rome  #2),Colleen McCullough,4.3,eng
1006,Tim,Colleen McCullough,3.81,eng
1007,O'Brien's the Things They Carried,Jill Colella/CliffsNotes,3.69,eng
1008,The Five People You Meet in Heaven,Mitch Albom,3.93,eng
1009,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,eng
1010,The Curious Incident of the Dog In the Night-time,Mark Haddon,3.88,eng
1011,The Curious Incident of the Dog in the Night-time,Mark Haddon,3.88,eng
1012,Northern Lights,Tim O'Brien,3.29,eng
1013,If I Die in a Combat Zone  Box Me Up and Ship Me Home,Tim O'Brien,3.95,eng
1014,Going After Cacciato,Tim O'Brien,3.91,eng
1015,In the Lake of the Woods,Tim O'Brien,3.78,eng
1016,The Nuclear Age,Tim O'Brien,3.45,eng
1017,The Rescue,Nicholas Sparks,4.11,eng
1018,A Bend in the Road,Nicholas Sparks,4.03,eng
